wavenumber(cm-1),absorption_coefficient(none),err,quality
224.2030,682.4801,0,
224.6851,684.2849,0,
225.1673,686.0913,0,
225.6495,687.8990,0,
226.1316,689.7155,0,
226.6138,691.5405,0,
227.0959,693.3722,0,
227.5781,695.2115,0,
228.0602,697.0472,0,
228.5424,698.8740,0,
229.0246,700.6946,0,
229.5067,702.5039,0,
229.9889,704.3064,0,
230.4710,706.1069,0,
230.9532,707.8960,0,
231.4353,709.6756,0,
231.9175,711.4542,0,
232.3997,713.2259,0,
232.8818,714.9888,0,
233.3640,716.7514,0,
233.8461,718.5232,0,
234.3283,720.3103,0,
234.8104,722.1104,0,
235.2926,723.9246,0,
235.7748,725.7588,0,
236.2569,727.6082,0,
236.7391,729.4732,0,
237.2212,731.3605,0,
237.7034,733.2640,0,
238.1855,735.1823,0,
238.6677,737.1180,0,
239.1498,739.0592,0,
239.6320,740.9994,0,
240.1142,742.9345,0,
240.5963,744.8511,0,
241.0785,746.7476,0,
241.5606,748.6231,0,
242.0428,750.4694,0,
242.5249,752.2874,0,
243.0071,754.0798,0,
243.4893,755.8505,0,
243.9714,757.6081,0,
244.4536,759.3511,0,
244.9357,761.0822,0,
245.4179,762.8111,0,
245.9000,764.5359,0,
246.3822,766.2585,0,
246.8644,767.9844,0,
247.3465,769.7139,0,
247.8287,771.4572,0,
248.3108,773.2200,0,
248.7930,774.9995,0,
249.2751,776.8089,0,
249.7573,778.6545,0,
250.2395,780.5210,0,
250.7216,782.3993,0,
251.2038,784.2871,0,
251.6859,786.1877,0,
252.1681,788.1153,0,
252.6502,790.0753,0,
253.1324,792.0637,0,
253.6146,794.0711,0,
254.0967,796.0836,0,
254.5789,798.1049,0,
255.0610,800.1427,0,
255.5432,802.1838,0,
256.0253,804.2295,0,
256.5075,806.2895,0,
256.9896,808.3501,0,
257.4718,810.3980,0,
257.9540,812.4364,0,
258.4361,814.4659,0,
258.9183,816.4779,0,
259.4004,818.4680,0,
259.8826,820.4366,0,
260.3648,822.3845,0,
260.8469,824.3160,0,
261.3291,826.2409,0,
261.8112,828.1684,0,
262.2934,830.1129,0,
262.7755,832.0926,0,
263.2577,834.1137,0,
263.7398,836.1704,0,
264.2220,838.2686,0,
264.7042,840.4098,0,
265.1863,842.5869,0,
265.6685,844.8084,0,
266.1506,847.0728,0,
266.6328,849.3583,0,
267.1150,851.6560,0,
267.5971,853.9700,0,
268.0793,856.3108,0,
268.5614,858.6893,0,
269.0436,861.1028,0,
269.5257,863.5405,0,
270.0079,873.3344,0,
270.4900,875.8298,0,
270.9722,878.3356,0,
271.4544,880.8868,0,
271.9365,883.4458,0,
272.4187,885.9118,0,
272.9008,888.3705,0,
273.3830,889.9908,0,
273.8652,891.6152,0,
274.3473,892.9452,0,
274.8295,894.2804,0,
275.3116,896.3328,0,
275.7938,898.4010,0,
276.2759,900.8388,0,
276.7581,903.2650,0,
277.2403,905.4864,0,
277.7224,907.6971,0,
278.2046,909.7461,0,
278.6867,911.7804,0,
279.1689,913.8897,0,
279.6510,915.9913,0,
280.6153,919.9009,0,
281.5797,924.9902,0,
282.5440,929.8670,0,
283.5083,933.2211,0,
284.4726,935.8637,0,
285.4369,938.9741,0,
286.4012,941.8333,0,
287.3655,945.2923,0,
288.3299,951.6377,0,
289.2942,958.4276,0,
290.2585,961.0113,0,
291.2228,962.5532,0,
292.1871,967.9758,0,
293.1514,974.2089,0,
294.1157,977.1373,0,
295.0801,979.2514,0,
296.0444,983.5154,0,
297.0087,988.0311,0,
297.9730,990.8804,0,
298.9373,993.3614,0,
299.9016,996.1943,0,
300.8659,998.7915,0,
301.8302,997.4326,0,
302.7946,1000.0224,0,
303.7589,1002.5711,0,
304.7232,1005.0836,0,
305.6875,1007.5647,0,
306.6518,1010.0194,0,
307.6161,1012.4525,0,
308.5804,1014.8689,0,
309.5448,1017.2735,0,
310.5091,1019.6711,0,
311.4734,1022.0666,0,
312.4377,1024.4649,0,
313.4020,1026.8709,0,
314.3663,1025.2634,0,
315.3306,1029.1702,0,
316.2950,1035.0636,0,
317.2593,1037.9778,0,
318.2236,1038.6384,0,
319.1879,1041.2288,0,
320.1522,1045.1505,0,
321.1165,1047.0321,0,
322.0808,1048.6667,0,
323.0452,1052.6917,0,
324.0095,1055.9474,0,
324.9738,1056.5604,0,
325.9381,1059.6012,0,
326.9024,1067.0766,0,
327.8667,1072.6164,0,
328.8310,1073.0955,0,
329.7953,1074.9003,0,
330.7597,1080.4697,0,
331.7240,1083.8442,0,
332.6883,1084.6677,0,
333.6526,1088.9347,0,
334.6169,1094.5003,0,
335.5812,1095.6731,0,
336.5455,1095.7018,0,
337.5099,1099.6277,0,
338.4742,1105.2915,0,
339.4385,1109.2431,0,
340.4028,1112.4236,0,
341.3671,1116.2493,0,
342.3314,1118.6599,0,
343.2957,1118.7181,0,
344.2601,1119.4741,0,
345.2244,1122.6767,0,
346.1887,1126.1201,0,
347.1530,1128.5469,0,
348.1173,1132.4734,0,
349.0816,1137.6171,0,
350.0460,1140.2694,0,
351.0103,1141.6564,0,
351.9746,1145.1740,0,
352.9389,1149.5012,0,
353.9032,1151.9371,0,
354.8675,1153.9602,0,
355.8318,1157.8655,0,
356.7961,1161.0929,0,
357.7605,1161.6015,0,
358.7248,1163.3083,0,
359.6891,1168.4105,0,
360.6534,1172.3543,0,
361.6177,1172.4749,0,
362.5820,1171.8118,0,
363.5463,1172.6859,0,
364.5107,1174.1339,0,
365.4750,1176.6411,0,
366.4393,1181.0012,0,
367.4036,1183.9150,0,
368.3679,1184.4924,0,
369.3322,1186.2868,0,
370.2965,1189.4855,0,
371.2609,1191.6830,0,
372.2252,1192.9052,0,
373.1895,1194.5875,0,
374.1538,1196.9151,0,
375.1181,1198.8781,0,
376.0824,1199.8913,0,
377.0467,1201.0589,0,
378.0111,1203.2737,0,
378.9754,1205.5227,0,
379.9397,1207.0650,0,
380.9040,1209.0416,0,
381.8683,1212.0734,0,
382.8326,1214.7701,0,
383.7969,1216.2600,0,
384.7613,1217.4096,0,
385.7256,1218.4978,0,
386.6899,1219.1511,0,
387.6542,1220.0538,0,
388.6185,1222.0478,0,
389.5828,1224.4818,0,
390.5471,1226.2317,0,
391.5114,1227.5142,0,
392.4758,1229.8631,0,
393.4401,1233.1894,0,
394.4044,1235.5788,0,
395.3687,1237.3105,0,
396.3330,1239.8960,0,
397.2973,1242.3279,0,
398.2616,1243.1184,0,
399.2260,1243.2765,0,
400.1903,1244.4157,0,
401.1546,1245.9993,0,
402.1189,1246.7600,0,
403.0832,1246.9185,0,
404.0475,1247.4260,0,
405.0118,1248.0288,0,
405.9762,1248.1557,0,
406.9405,1248.4096,0,
407.9048,1249.3939,0,
408.8691,1250.5696,0,
409.8334,1251.3963,0,
410.7977,1252.2234,0,
411.7620,1253.4650,0,
412.7264,1254.5802,0,
413.6907,1255.0903,0,
414.6550,1255.8238,0,
415.6193,1257.1962,0,
416.5836,1258.3461,0,
417.5479,1259.0813,0,
418.5122,1260.4887,0,
419.4765,1261.9935,0,
420.4409,1261.9615,0,
421.4052,1261.0008,0,
422.3695,1260.7767,0,
423.3338,1260.7447,0,
424.2981,1260.1687,0,
425.2624,1259.2411,0,
426.2267,1258.3781,0,
427.1911,1257.4516,0,
428.1554,1255.6962,0,
429.1197,1253.4650,0,
430.0840,1252.0007,0,
431.0483,1250.9828,0,
432.0126,1249.1716,0,
432.9769,1246.7600,0,
