wavenumber(cm-1),absorption_coefficient(none),err,quality
221.7922,553.1327,0,
222.2743,555.6094,0,
222.7565,558.0754,0,
223.2387,560.5255,0,
223.7208,562.9574,0,
224.2030,565.3749,0,
224.6851,567.7805,0,
225.1673,570.1723,0,
225.6495,572.5498,0,
226.1316,574.9172,0,
226.6138,577.2774,0,
227.0959,579.6309,0,
227.5781,581.9795,0,
228.0602,584.3271,0,
228.5424,586.6740,0,
229.0246,589.0191,0,
229.5067,591.3603,0,
229.9889,593.6924,0,
230.4710,597.6059,0,
230.9532,600.9339,0,
231.4353,604.2618,0,
231.9175,606.9587,0,
232.3997,609.6533,0,
232.8818,611.2432,0,
233.3640,612.8304,0,
233.8461,613.7712,0,
234.3283,614.7091,0,
234.8104,617.3334,0,
235.2926,619.9547,0,
235.7748,622.6430,0,
236.2569,625.3300,0,
236.7391,625.3310,0,
237.2212,625.3297,0,
237.7034,626.2506,0,
238.1855,627.1692,0,
238.6677,631.6535,0,
239.1498,636.1338,0,
239.6320,641.0225,0,
240.1142,645.9066,0,
240.5963,648.3442,0,
241.0785,650.7796,0,
241.5606,653.0421,0,
242.0428,655.3097,0,
242.5249,658.3349,0,
243.0071,661.3646,0,
243.4893,663.5382,0,
243.9714,665.7121,0,
244.4536,666.4125,0,
244.9357,667.1089,0,
245.4179,667.4556,0,
245.9000,667.7851,0,
246.3822,670.3441,0,
246.8644,672.8700,0,
247.3465,675.9697,0,
247.8287,679.0182,0,
248.3108,679.8460,0,
248.7930,680.6086,0,
249.2751,680.6392,0,
249.7573,680.5942,0,
250.7216,680.1677,0,
251.6859,684.0249,0,
252.6502,687.5297,0,
253.6146,692.2744,0,
254.5789,700.5470,0,
255.5432,710.5210,0,
256.5075,716.2437,0,
257.4718,716.6723,0,
258.4361,716.2242,0,
259.4004,716.3216,0,
260.3648,717.1013,0,
261.3291,719.9546,0,
262.2934,725.0453,0,
263.2577,730.9890,0,
264.2220,737.0241,0,
265.1863,741.9185,0,
266.1506,745.3226,0,
267.1150,749.3970,0,
268.0793,754.8738,0,
269.0436,760.2904,0,
270.0079,764.0155,0,
270.9722,766.3774,0,
271.9365,768.8945,0,
272.9008,772.4127,0,
273.8652,777.3087,0,
274.8295,783.1184,0,
275.7938,788.6743,0,
276.7581,792.9902,0,
277.7224,795.4312,0,
278.6867,796.6986,0,
279.6510,799.8993,0,
280.6153,805.6582,0,
281.5797,810.9962,0,
282.5440,814.5553,0,
283.5083,817.2311,0,
284.4726,819.9172,0,
285.4369,822.8408,0,
286.4012,826.2103,0,
287.3655,830.7209,0,
288.3299,835.6541,0,
289.2942,839.9240,0,
290.2585,844.4077,0,
291.2228,848.6376,0,
292.1871,850.7386,0,
293.1514,852.9171,0,
294.1157,857.4142,0,
295.0801,861.8204,0,
296.0444,865.1436,0,
297.0087,869.0408,0,
297.9730,872.5939,0,
298.9373,874.4751,0,
299.9016,877.0733,0,
300.8659,881.9031,0,
301.8302,886.1695,0,
302.7946,888.8868,0,
303.7589,892.5432,0,
304.7232,896.9767,0,
305.6875,899.2041,0,
306.6518,899.4830,0,
307.6161,901.9730,0,
308.5804,907.1850,0,
